INFO 2025-05-17 04:04:56,979 autoreload 82534 8724913920 Watching for file changes with StatReloader
INFO 2025-05-17 04:05:08,405 basehttp 82534 6158823424 "GET /api/streams/ HTTP/1.1" 200 574
INFO 2025-05-17 04:05:08,405 basehttp 82534 6175649792 "GET /api/streams/ HTTP/1.1" 200 574
INFO 2025-05-17 04:05:14,542 basehttp 82534 6158823424 "POST /api/streams/ HTTP/1.1" 201 190
WARNING 2025-05-17 04:05:17,308 log 82534 6192476160 Not Found: /ws/stream/29468518-a000-4745-8972-9f6284d25a75/
INFO 2025-05-17 04:05:17,309 basehttp 82534 6192476160 - Broken pipe from ('127.0.0.1', 54020)
WARNING 2025-05-17 04:05:17,320 log 82534 6209302528 Not Found: /ws/stream/29468518-a000-4745-8972-9f6284d25a75/
WARNING 2025-05-17 04:05:17,320 basehttp 82534 6209302528 "GET /ws/stream/29468518-a000-4745-8972-9f6284d25a75/ HTTP/1.1" 404 2470
INFO 2025-05-17 04:05:17,320 basehttp 82534 6209302528 - Broken pipe from ('127.0.0.1', 54022)
INFO 2025-05-17 04:05:24,535 basehttp 82534 6158823424 "POST /api/streams/29468518-a000-4745-8972-9f6284d25a75/stop/ HTTP/1.1" 200 27
INFO 2025-05-17 04:05:26,520 basehttp 82534 6158823424 "POST /api/streams/7b44b5e1-7584-4402-89de-c87fd4640728/stop/ HTTP/1.1" 200 27
INFO 2025-05-17 04:05:27,539 basehttp 82534 6158823424 "POST /api/streams/99d0c81b-f6a6-4395-9cc1-648811e19b6e/stop/ HTTP/1.1" 200 27
INFO 2025-05-17 04:05:28,748 basehttp 82534 6158823424 "POST /api/streams/00cf7ce5-19f5-434c-82fb-8581851bfda8/stop/ HTTP/1.1" 200 27
INFO 2025-05-17 04:05:31,163 basehttp 82534 6158823424 "POST /api/streams/ HTTP/1.1" 201 190
WARNING 2025-05-17 04:05:34,415 log 82534 6226128896 Not Found: /ws/stream/bc367cde-d1b0-47b3-bd07-cc6e15748695/
INFO 2025-05-17 04:05:34,415 basehttp 82534 6226128896 - Broken pipe from ('127.0.0.1', 54098)
WARNING 2025-05-17 04:05:34,430 log 82534 6242955264 Not Found: /ws/stream/bc367cde-d1b0-47b3-bd07-cc6e15748695/
WARNING 2025-05-17 04:05:34,430 basehttp 82534 6242955264 "GET /ws/stream/bc367cde-d1b0-47b3-bd07-cc6e15748695/ HTTP/1.1" 404 2470
INFO 2025-05-17 04:06:17,180 basehttp 82534 6175649792 "GET /api/streams/ HTTP/1.1" 200 960
INFO 2025-05-17 04:06:17,180 basehttp 82534 6158823424 "GET /api/streams/ HTTP/1.1" 200 960
INFO 2025-05-17 04:06:26,947 basehttp 82534 6158823424 "POST /api/streams/bc367cde-d1b0-47b3-bd07-cc6e15748695/stop/ HTTP/1.1" 200 27
INFO 2025-05-17 04:06:29,488 basehttp 82534 6158823424 "POST /api/streams/ HTTP/1.1" 201 190
WARNING 2025-05-17 04:06:31,654 log 82534 6192476160 Not Found: /ws/stream/a8f383fc-c052-48c2-8f63-5f3933ab309f/
INFO 2025-05-17 04:06:31,654 basehttp 82534 6192476160 - Broken pipe from ('127.0.0.1', 54371)
WARNING 2025-05-17 04:06:31,669 log 82534 6209302528 Not Found: /ws/stream/a8f383fc-c052-48c2-8f63-5f3933ab309f/
WARNING 2025-05-17 04:06:31,669 basehttp 82534 6209302528 "GET /ws/stream/a8f383fc-c052-48c2-8f63-5f3933ab309f/ HTTP/1.1" 404 2470
INFO 2025-05-17 04:06:31,669 basehttp 82534 6209302528 - Broken pipe from ('127.0.0.1', 54373)
INFO 2025-05-17 04:07:06,632 basehttp 82534 6175649792 "GET /api/streams/ HTTP/1.1" 200 1152
